Sample Type / Type d'échantillon,Month/Mois,Year/Année,Location/Emplacement,Volume Collected/Volume prélevé (L),Activity/Activité (Bq/L),Error/Erreur (Bq/L),Activity/Activité (Bq/m^3),Error/Erreur (Bq/m^3),Comments/Commentaires
Vapour/Vapeur,6,2015,GE7,0.02,26,3,0.258,0.035,
Vapour/Vapeur,6,2015,GE8,0.02,8,3,0.082,0.03,
Vapour/Vapeur,6,2015,LE12,0.02,3,3,0.025,0.025,
Vapour/Vapeur,6,2015,LE13,0.02,6,3,0.061,0.031,
Vapour/Vapeur,6,2015,LE14,0.02,2,3,0.016,0.029,
Vapour/Vapeur,6,2015,LE15,0.02,52,4,0.466,0.036,
Vapour/Vapeur,6,2015,LE7,0.02,-1,3,-0.007,0.026,
Vapour/Vapeur,6,2015,LE8,0.02,3,3,,,Saturated/Saturée
Vapour/Vapeur,6,2015,OA2,0.02,1,3,0.011,0.022,
Vapour/Vapeur,6,2015,PI12,0.01,43,4,0.322,0.029,
Vapour/Vapeur,7,2015,GE10,0.019,12,3,0.093,0.024,
Vapour/Vapeur,7,2015,GE4,0.019,9,3,0.091,0.029,
Vapour/Vapeur,7,2015,GE7,0.02,21,3,,,
Vapour/Vapeur,7,2015,GE8,0.02,9,3,0.074,0.024,
Vapour/Vapeur,7,2015,LE12,0.02,8,3,0.079,0.027,
Vapour/Vapeur,7,2015,LE13,0.02,31,3,0.306,0.034,
Vapour/Vapeur,7,2015,LE14,0.019,6,3,0.054,0.026,
Vapour/Vapeur,7,2015,LE15,0.019,31,3,0.266,0.03,
Vapour/Vapeur,7,2015,LE7,0.018,0,3,-0.001,0.024,
Vapour/Vapeur,7,2015,LE8,0.02,2,3,0.023,0.027,
Vapour/Vapeur,7,2015,PI12,0.019,21,3,0.203,0.031,
Vapour/Vapeur,8,2015,GE10,0.02,15,3,0.162,0.032,
Vapour/Vapeur,8,2015,GE4,0.019,17,3,0.145,0.027,
Vapour/Vapeur,8,2015,GE7,0.019,38,4,0.39,0.037,
Vapour/Vapeur,8,2015,GE8,0.018,8,3,0.074,0.027,
Vapour/Vapeur,8,2015,LE12,0.019,20,3,0.18,0.028,
Vapour/Vapeur,8,2015,LE13,0.02,24,9,0.235,0.085,
Vapour/Vapeur,8,2015,LE14,0.02,8,3,0.076,0.027,
Vapour/Vapeur,8,2015,LE15,0.021,225,7,2.626,0.076,
Vapour/Vapeur,8,2015,LE7,0.02,4,3,0.043,0.027,
Vapour/Vapeur,8,2015,LE8,0.021,2,3,0.016,0.028,
Vapour/Vapeur,8,2015,OA2,0.006,5,3,0.015,0.008,
Vapour/Vapeur,8,2015,PI12,0.018,26,3,0.225,0.029,
Vapour/Vapeur,9,2015,GE10,0.017,17,3,0.161,0.031,
Vapour/Vapeur,9,2015,GE4,0.018,7,3,0.059,0.027,
Vapour/Vapeur,9,2015,GE7,0.019,20,3,0.209,0.036,
Vapour/Vapeur,9,2015,GE8,0.018,1,3,0.011,0.029,
Vapour/Vapeur,9,2015,LE12,0.018,3,3,0.026,0.027,
Vapour/Vapeur,9,2015,LE13,0.025,11,3,,,Saturated/Saturée
Vapour/Vapeur,9,2015,LE14,0.02,1,3,0.014,0.028,
Vapour/Vapeur,9,2015,LE15,0.02,59,4,0.612,0.043,
Vapour/Vapeur,9,2015,LE7,0.019,0,3,0,0.028,
Vapour/Vapeur,9,2015,LE8,0.022,-3,3,-0.031,0.029,
Vapour/Vapeur,9,2015,OA2,0,-4,8,-0.001,0.002,
Vapour/Vapeur,9,2015,PI12,0.019,18,3,0.172,0.031,
