Sample Type / Type d'échantillon,Month/Mois,Year/Année,Location/Emplacement,Volume Collected/Volume prélevé (L),Activity/Activité (Bq/L),Error/Erreur (Bq/L),Activity/Activité (Bq/m^3),Error/Erreur (Bq/m^3),Comments/Commentaires
Vapour/Vapeur,2,2015,GE8,0.01,13,3,0.02,0.005,
Vapour/Vapeur,2,2015,LE12,0.01,2,3,0.005,0.007,
Vapour/Vapeur,2,2015,LE13,0.02,8,3,0.035,0.013,
Vapour/Vapeur,2,2015,LE14,0.01,2,3,0.005,0.008,
Vapour/Vapeur,2,2015,LE15,0.01,7,3,0.017,0.007,
Vapour/Vapeur,2,2015,LE7,0.01,-1,3,-0.003,0.009,
Vapour/Vapeur,2,2015,LE8,0.03,-2,3,,,Saturated/Saturée
Vapour/Vapeur,2,2015,OA2,0.01,4,3,0.006,0.004,
Vapour/Vapeur,2,2015,PI12,0.01,34,4,0.06,0.006,
Vapour/Vapeur,3,2015,GE10,0.01,18,3,0.06,0.01,
Vapour/Vapeur,3,2015,GE4,0.01,9,3,0.024,0.008,
Vapour/Vapeur,3,2015,GE7,0.01,57,4,0.166,0.012,
Vapour/Vapeur,3,2015,GE8,0.02,10,3,0.047,0.014,
Vapour/Vapeur,3,2015,LE12,0.02,0,3,0,0.01,
Vapour/Vapeur,3,2015,LE13,0.02,3,3,0.013,0.011,
Vapour/Vapeur,3,2015,LE14,0.02,7,3,0.022,0.009,
Vapour/Vapeur,3,2015,LE15,0.02,4,3,0.013,0.01,
Vapour/Vapeur,3,2015,LE7,0.02,-1,3,-0.005,0.01,
Vapour/Vapeur,3,2015,LE8,0.02,0,3,,,Saturated/Saturée
Vapour/Vapeur,3,2015,OA2,0.01,105,5,0.219,0.01,
Vapour/Vapeur,3,2015,PI12,0.02,14,3,0.049,0.011,
Vapour/Vapeur,4,2015,GE10,0.02,8,3,0.027,0.01,
Vapour/Vapeur,4,2015,GE4,0.02,138,5,0.453,0.018,
Vapour/Vapeur,4,2015,GE7,0.02,497,9,1.69,0.032,
Vapour/Vapeur,4,2015,GE8,0.02,6,3,0.021,0.01,
Vapour/Vapeur,4,2015,LE12,0.02,50,4,0.202,0.016,
Vapour/Vapeur,4,2015,LE13,0.02,71,4,0.306,0.019,
Vapour/Vapeur,4,2015,LE14,0.02,27,3,0.106,0.014,
Vapour/Vapeur,4,2015,LE15,0.02,462,9,2.09,0.041,
Vapour/Vapeur,4,2015,LE7,0.02,1,3,0.003,0.01,
Vapour/Vapeur,4,2015,LE8,0.03,0,3,,,Saturated/Saturée
Vapour/Vapeur,4,2015,OA2,0.02,-1,3,-0.004,0.009,
Vapour/Vapeur,5,2015,GE10,0.02,11,3,0.084,0.024,
Vapour/Vapeur,5,2015,GE4,0.02,33,4,0.3,0.033,
Vapour/Vapeur,5,2015,GE7,0.02,89,5,0.715,0.038,
Vapour/Vapeur,5,2015,GE8,0.02,8,3,0.064,0.023,
Vapour/Vapeur,5,2015,LE12,0.02,13,3,0.12,0.029,
Vapour/Vapeur,5,2015,LE13,0.02,14,3,0.134,0.03,
Vapour/Vapeur,5,2015,LE14,0.02,20,3,0.183,0.03,
Vapour/Vapeur,5,2015,LE15,0.02,222,7,2.47,0.073,
Vapour/Vapeur,5,2015,LE7,0.02,2,3,0.019,0.028,
Vapour/Vapeur,5,2015,LE8,0.02,0,3,,,Saturated/Saturée
Vapour/Vapeur,5,2015,OA2,0.01,3,3,0.024,0.022,
Vapour/Vapeur,6,2015,GE10,0.02,17,3,0.184,0.035,
Vapour/Vapeur,6,2015,GE4,0.02,10,3,0.086,0.025,
