HC_ID#,Description,Collection_date,Wet_Weight_Poids_Humide_g,Dry_Weight_per_Poids_sec_g,Count_Date_per_date_de_comptage,Cs_137_Concentration_Bq_per_Kg_WET_HUMIDE,Cs_137_Uncertainty_Incertitude_Bq_per_Kg_WET_HUMIDE,Cs_137_MDC_CMD_Bq_per_kg_WET_HUMIDE,Cs_134_Concentration_Bq_per_Kg_WET_HUMIDE,Cs_134_Uncertainty_Incertitude_Bq_per_Kg_WET_HUMIDE,Cs_134_MDC_CMD_Bq_per_kg_WET_HUMIDE,K_40_Concentration_Bq_per_Kg_WET_HUMIDE,K_40_Uncertainty_Incertitude_Bq_per_Kg_WET_HUMIDE,K_40_MDC_CMD_Bq_per_kg_WET_HUMIDE,Cs_137_Concentration_Bq_per_Kg_DRY_SEC,Cs_137_Uncertainty_Incertitude_Bq_per_Kg_DRY_SEC,Cs_137_MDC_CMD_Bq_per_kg_DRY_SEC,Cs_134_Concentration_Bq_per_Kg_DRY_SEC,Cs_134_Uncertainty_Incertitude_Bq_per_Kg_DRY_SEC,Cs_134_MDC_CMD_Bq_per_kg_DRY_SEC,K_40_Concentration_Bq_per_kg_DRY_SEC,K_40_Uncertainty_Incertitude_Bq_per_Kg_DRY_SEC,K_40_MDC_CMD_Bq_per_kg_DRY_SEC
40015,Chaga,2017-10-22,75.71771667,43.2045,12/15/2017,1.653509978,0.347237095,1.42899185,ND,­,1.056555896,1778.93637,94.28362759,19.32176595,2.9,0.61,2.5,ND,­,1.85,3118,165,33.9
40016,Chaga,2017-10-22,63.81771667,39.952,12/15/2017,30.23298389,1.844212017,1.632775434,ND,­,1.222231131,1703.931223,90.30835481,22.64261518,48.3,2.95,2.61,ND,­,1.95,2722,144,36.2
40017,Chaga,2017-10-22,71.51771667,44.3791,12/15/2017,14.89141502,1.012616221,1.521301365,ND,­,1.048691198,1350.315761,72.91705109,19.05821471,24,1.63,2.45,ND,­,1.69,2176,118,30.7
39991,Chanterelle,2017-07-16,169.1177167,13.5964,12/6/2017,0.524900654,0.099731124,0.355965071,ND,­,0.230608601,93.30778768,5.878390624,0.513251963,6.53,1.24,4.43,ND,­,2.87,1161,73.1,6.38
39993,Chanterelle,2017-07-25,120.9177167,8.279,12/7/2017,0.29855013,0.125391054,0.402753222,ND,­,0.314263294,119.9493374,7.556808259,5.368113275,4.36,1.83,5.88,ND,­,4.59,1752,110,78.4
39995,Chanterelle,2017-08-02,124.4177167,15.3225,12/7/2017,ND,­,0.506358754,ND,­,0.417946908,176.9844407,10.79605088,6.555336506,ND,­,4.11,ND,­,3.39,1437,87.7,53.2
39999,Chanterelle,2017-08-07,160.3177167,17.2262,12/9/2017,1.287443486,0.141618783,0.391722146,ND,­,0.305643076,141.3069028,9.043641777,6.686721981,12,1.32,3.65,ND,­,2.84,1315,84.2,62.2
40000,Chanterelle,2017-08-09,161.8177167,18.5882,12/9/2017,3.72270733,0.268034928,0.413366357,ND,­,0.308989652,148.5313258,8.91187955,5.202149785,32.4,2.33,3.6,ND,­,2.69,1293,77.6,45.3
40001,Chanterelle,2017-08-09,169.4177167,13.7739,12/9/2017,1.132998389,0.147289791,0.354744481,ND,­,0.253810527,113.9019011,6.948015964,4.706709639,13.9,1.81,4.36,ND,­,3.12,1401,85.5,57.9
40002,Chanterelle,2017-08-09,162.4177167,15.6988,12/10/2017,5.685956058,0.3752731,0.389735808,ND,­,0.295534262,118.5646517,7.232443751,4.70453603,58.8,3.88,4.03,ND,­,3.06,1227,74.8,48.7
