Created: 2016-12-01T13:03:43.274761
Name: Notice_of_Compliance_DIN_Product
Original URL: https://www.canada.ca/content/dam/hc-sc/documents/services/drugs-health-products/drug-products/notice-compliance/database/noc_din_product.txt
Package ID: 12c9de20-a9b6-4b6d-bf9a-090774ff2f46
Keywords: ['notice of compliance listings', 'notices of compliance with conditions']
Notes: A Notice of Compliance is a notification, issued pursuant to paragraph C.08.004(1)(a), indicating that a manufacturer has complied with sections C.08.002 or C.08.003 and C.08.005.1 of the Food and Drug Regulations. Notices of Compliance are issued to a manufacturer following the satisfactory review of a submission.

The NOC extract files contain Health Canada authorization dates for all drugs dating back to 1994 that have received an NOC.  There are four types of NOCs: Biological, Prescription, Nonprescription and Veterinary.  This data extract contains information on Notice of Compliance DIN Product.

-------------------------------
Extracted Text:
"1","1","1","02248727"
"1","3","1","02248729"
"1","2","1","02248728"
"2","4","2","02245781"
"3","5","3","02249057"
"4","7","4","02248966"
"4","6","4","02248965"
"5","8","5","02248809"
"5","9","5","02248811"
"5","13","5","02248812"
"5","11","5","02248808"
"5","12","5","02248810"
"5","10","5","02248813"
"6","14","6","02248625"
"7","15","7","02248764"
"8","16","8","02248763"
"9","18","9","02247096"
"9","17","9","02247097"
"10","19","10","02034468"
"11","20","11","02165414"
"11","22","11","02165430"
"11","21","11","02165422"
"12","23","12","02249456"
"13","24","13","N/A"
"14","26","14","02236964"
"14","25","14","02236963"
"15","27","15","N/A"
"16","28","16","N/A"
"17","29","17","02248752"
"17","32","17","02248755"
"17","31","17","02248754"
"17","30","17","02248753"
"18","34","19","02248707"
"18","33","18","02248706"
"19","36","20","02249898"
"19","35","20","02249871"
"20","37","21","02248251"
"21","38","22","02248138"
"22","40","24","N/A"
"22","39","23","N/A"
"23","41","25","N/A"
"24","42","26","00559253"
"25","43","27","00548359"
"25","46","28","00813958"
"25","45","27","00723770"
"25","44","27","00548367"
"26","48","29","02248129"
"26","47","29","02248128"
"27","49","30","02247098"
"28","50","31","02246714"
"29","51","32","02247823"
"30","53","33","02248997"
"30","52","33","02248996"
"31","54","34","02249960"
"31","56","34","02249987"
"31","55","34","02249979"
"32","57","35","02248756"
"32","59","35","02248758"
"32","58","35","02248757"
"33","60","36","02246824"
"34","61","37","02246825"
"34","63","37","02246827"
"34","62","37","02246826"
"35","65","38","02248438"
"35","64","38","02248437"
"35","66","38","02248439"
"36","67","39","02248436"
"37","69","40","02248074"
"37","68","40","02248073"
"38","70","41","02161737"
