Created: 2016-12-01T12:24:15.829012
Name: Notice_of_Compliance_Veterinary_Species_
Original URL: https://www.canada.ca/content/dam/hc-sc/documents/services/drugs-health-products/drug-products/notice-compliance/database/noc_vet_species.txt
Package ID: 98ee168e-dcae-47ff-b136-104f7af212e2
Keywords: ['notice of compliance listings', 'notices of compliance with conditions']
Notes: A Notice of Compliance is a notification, issued pursuant to paragraph C.08.004(1)(a), indicating that a manufacturer has complied with sections C.08.002 or C.08.003 and C.08.005.1 of the Food and Drug Regulations. Notices of Compliance are issued to a manufacturer following the satisfactory review of a submission.

The NOC extract files contain Health Canada authorization dates for all drugs dating back to 1994 that have received an NOC.  There are four types of NOCs: Biological, Prescription, Nonprescription and Veterinary.  This data extract contains information on Notice of Compliance Veterinary Species.

-------------------------------
Extracted Text:
"3630","CATS","CHATS"
"3630","DOGS","CHIENS"
"3631","SWINE","PORCINS"
"3632","HORSES","CHEVAUX"
"3632","DOGS","CHIENS"
"3633","CATTLE","BOVINS"
"3637","CATTLE","BOVINS"
"3637","SWINE","PORCINS"
"3638","HORSES","CHEVAUX"
"3639","SWINE","PORCINS"
"3640","SWINE","PORCINS"
"3641","SWINE","PORCINS"
"3642","SWINE","PORCINS"
"3643","SWINE","PORCINS"
"3644","SWINE","PORCINS"
"3645","DOGS","CHIENS"
"3645","CATS","CHATS"
"3646","DOGS","CHIENS"
"3646","CATS","CHATS"
"3647","CATTLE","BOVINS"
"3648","HORSES","CHEVAUX"
"3649","CATTLE","BOVINS"
"3649","SWINE","PORCINS"
"3650","CATS","CHATS"
"3651","CATS","CHATS"
"3652","HORSES","CHEVAUX"
"4293","CATTLE","BOVINS"
"4293","SWINE","PORCINS"
"4294","HORSES","CHEVAUX"
"4826","DOGS","CHIENS"
"4826","CATS","CHATS"
"5320","CATS","CHATS"
"5321","DOGS","CHIENS"
"5322","POULTRY","VOLAILLE"
"5323","SWINE","PORCINS"
"5349","BEEF CATTLE","BOVINS DE BOUCHERIE"
"5349","SWINE","PORCINS"
"5349","NON-LACTATING DAIRY CATTLE","VACHES LAITIÈRES EN TARISSEMENT"
"5420","HORSES","CHEVAUX"
"5570","CATTLE","BOVINS"
"5570","SWINE","PORCINS"
"5570","SHEEP","MOUTONS"
"5650","CATS","CHATS"
"5650","DOGS","CHIENS"
"5764","SWINE","PORCINS"
"5764","HORSES","CHEVAUX"
"5764","CATTLE","BOVINS"
"5765","ATLANTIC SALMON","SAUMON DE L'ATLANTIQUE"
"5766","CATTLE","BOVINS"
"5766","LAMB","AGNEAUX"
"5767","SWINE","PORCINS"
"5767","CATTLE","BOVINS"
"5838","DOGS","CHIENS"
"5840","DOGS","CHIENS"
"5840","CATS","CHATS"
"5841","DOGS","CHIENS"
"5841","CATS","CHATS"
"5842","DOGS","CHIENS"
"5842","CATS","CHATS"
"5844","DOGS","CHIENS"
"5844","CATS","CHATS"
"5845","DOGS","CHIENS"
"5845","CATS","CHATS"
"5846","DOGS","CHIENS"
"5846","CATS","CHATS"
"5847","DOGS","CHIENS"
"5851","DOGS","CHIENS"
"5852","DOGS","CHIENS"
"5853","DOGS","CHIENS"
"5854","DOGS","CHIENS"
"5919","CATTLE","BOVINS"
"5920","DOGS","CHIENS"
"5920","CATTLE","BOVINS"
"5920","CATS","CHATS"
"5920","HORSES","CHEVAUX"
"5973","HEIFERS","GÉNISSES"
"6034","HORSES","CHEVAUX"
"6040","DAIRY CATTLE","VACHES LAITIÈRES"
"6041","DAIRY CATTLE","VACHES LAITIÈRES"
"6044","DAIRY CATTLE","VACHES LAITIÈRES"
"6045","CALVES","VEAUX"
"6045","LAMB","AGNEAUX"
"6046","DOGS","CHIENS"
"6047","DOGS","CHIENS"
"6047","CATS","CHATS"
"6048","HORSES","CHEVAUX"
"6049","HORSES","CHEVAUX"
"6050","HORSES","CHEVAUX"
"6051","DAIRY CATTLE","VACHES LAITIÈRES"
"6052","HORSES","CHEVAUX"
"6053","HORSES","CHEVAUX"
"6055","DOGS","CHIENS"
"6056","DOGS","CHIENS"
"6057","DOGS","CHIENS"
"6058","CATS","CHATS"
"6059","DOGS","CHIENS"
"6061","HORSES","CHEVAUX"
"6062","BROILER CHICKENS","POULETS À GRILLER"
"6063","CATTLE","BOVINS"
"6064","CATTLE (excluding lactating dairy cows)","BOVINS (EXCLUANT LES VACHES LAITIÈRES EN LACTATION)"
"6065","DOGS","CHIENS"
"6066","DOGS","CHIENS"
"6067","DOGS","CHIENS"
"6068","DAIRY CATTLE","VACHES LAITIÈRES"
"6069","SWINE","PORCINS"
"6069","CATTLE (steers and feedlot heifers)","BOVINS (BOUVILLONS ET GÉNISSES D'ENGRAISSEMENT)"
"6070","CATTLE","BOVINS"
"6071","DOGS","CHIENS"
"6072","SWINE","PORCINS"
"6072","TURKEYS","DINDES"
"6073","PASTURE STEERS","BOUVILLONS EN PÂTURAGE"
"6074","BROILER CHICKENS","POULETS À GRILLER"
"6077","SHEEP","MOUTONS"
"6077","CATTLE","BOVINS"
"6077","SWINE","PORCINS"
"6078","BROILER CHICKENS","POULETS À GRILLER"
"6079","CATTLE","BOVINS"
"6080","NON-LACTATING DAIRY CATTLE","VACHES LAITIÈRES EN TARISSEMENT"
"6080","BEEF CATTLE","BOVINS DE BOUCHERIE"
"6081","NON-LACTATING DAIRY CATTLE","VACHES LAITIÈRES EN TARISSEMENT"
"6081","BEEF CATTLE","BOVINS DE BOUCHERIE"
"6082","SWINE","PORCINS"
"6082","BEEF CATTLE","BOVINS DE BOUCHERIE"
"6083","SWINE","PORCINS"
"6083","BEEF CATTLE","BOVINS DE BOUCHERIE"
"6084","GROWING TURKEYS","DINDES EN CROISSANCE"
"6084","BROILER CHICKENS","POULETS À GRILLER"
"6085","HEIFER CALVES","VEAUX DE GÉNISSES"
"6085","STEER","BOUVILLONS"
"6086","STEER","BOUVILLONS"
"6087","HORSES","CHEVAUX"
"6088","PIGLETS","PORCELETS"
"6089","SWINE","PORCINS"
"6089","DOGS","CHIENS"
"6089","HORSES","CHEVAUX"
"6089","CATTLE (including lactating dairy cattle)","BOVINS (INCLUANT LES VACHES LAITIÈRES EN LACTATION)"
"6089","DAY OLD TURKEY POULTS","DINDONNEAUX ÂGÉS D'UN JOUR"
"6089","LAMB","AGNEAUX"
"6090","DOGS","CHIENS"
"6090","CATS","CHATS"
"6091","DOGS","CHIENS"
"6092","DOGS","CHIENS"
"6093","DOGS","CHIENS"
"6094","DOGS","CHIENS"
"6095","GROWING TURKEYS","DINDES EN CROISSANCE"
"6095","CATTLE","BOVINS"
"6095","BROILER CHICKENS","POULETS À GRILLER"
"6096","SUCKLING BEEF CALVES","BOVINS DE BOUCHERIE À L'ALLAITEMENT"
"6097","BEEF HEIFERS","GÉNISSES DE BOUCHERIE"
"6098","BEEF STEERS","BOVILLONS DE BOUCHERIE"
"6099","FEEDLOT HEIFERS","GÉNISSES D'ENGRAISSEMENT"
"6100","FEEDLOT STEERS","BOUVILLONS D'ENGRAISSEMENT"
"6101","CATTLE (excluding lactating dairy cows)","BOVINS (EXCLUANT LES VACHES LAITIÈRES EN LACTATION)"
"6102","ATLANTIC SALMON","SAUMON DE L'ATLANTIQUE"
"6103","DOGS","CHIENS"
"6104","DOGS","CHIENS"
"6105","DOGS","CHIENS"
"6106","CATTLE","BOVINS"
"6107","CATTLE","BOVINS"
"6107","SWINE","PORCINS"
"6108","CATS","CHATS"
"6108","DOGS","CHIENS"
"6109","DOGS","CHIENS"
"6110","DOGS","CHIENS"
"6111","DOGS","CHIENS"
"6112","DOGS","CHIENS"
"6112","CATS","CHATS"
"6113","DOGS","CHIENS"
"6114","DOGS","CHIENS"
"6115","DOGS","CHIENS"
"6116","DOGS","CHIENS"
"6117","DOGS","CHIENS"
"6117","CATS","CHATS"
"6118","DOGS","CHIENS"
"6119","DOGS","CHIENS"
"6120","DOGS","CHIENS"
"6121","BEEF CATTLE","BOVINS DE BOUCHERIE"
"6121","DEER","CHEVREUILS"
"6121","DAIRY CATTLE","VACHES LAITIÈRES"
"6122","SWINE","PORCINS"
"6122","CATTLE","BOVINS"
"6123","HORSES","CHEVAUX"
"6124","CATTLE","BOVINS"
"6124","SWINE","PORCINS"
"6125","HORSES","CHEVAUX"
"6126","DOGS","CHIENS"
"6126","CATS","CHATS"
"6127","DOGS","CHIENS"
"6128","DOGS","CHIENS"
"6129","DOGS","CHIENS"
"6130","SWINE","PORCINS"
"6130","CATTLE","BOVINS"
"6131","SWINE","PORCINS"
"6132","DOGS","CHIENS"
"6133","LACTATING COWS","VACHES EN LACTATION"
"6135","DOGS","CHIENS"
"6135","CATS","CHATS"
"6136","DOGS","CHIENS"
"6137","FEEDLOT HEIFERS","GÉNISSES D'ENGRAISSEMENT"
"6138","DOGS","CHIENS"
"6139","CATTLE (including lactating dairy cattle)","BOVINS (INCLUANT LES VACHES LAITIÈRES EN LACTATION)"
"6139","HORSES","CHEVAUX"
"6139","DOGS","CHIENS"
"6139","SWINE","PORCINS"
"6139","LAMB","AGNEAUX"
"6139","TURKEY POULTS","DINDONNEAUX"
"6140","HORSES","CHEVAUX"
"6141","DRY COWS","VACHES TARIES"
"6142","HORSES","CHEVAUX"
"6142","DOGS","CHIENS"
"6143","HORSES","CHEVAUX"
"6143","DOGS","CHIENS"
"6144","CATTLE","BOVINS"
"6144","HORSES","CHEVAUX"
"6144","SWINE","PORCINS"
"6145","DOGS","CHIENS"
"6146","DOGS","CHIENS"
"6146","CATS","CHATS"
"6147","DOGS","CHIENS"
"6147","CATS","CHATS"
"6148","SHEEP-EWES","MOUTONS-BREBIS"
"6148","SHEEP","MOUTONS"
"6149","DOGS","CHIENS"
"6149","CATS","CHATS"
"6150","CHICKENS","POULETS"
"6150","SWINE","PORCINS"
"6151","BROILER CHICKENS","POULETS À GRILLER"
"6151","SWINE","PORCINS"
"6152","LACTATING COWS","VACHES EN LACTATION"
"6153","DOGS","CHIENS"
"6153","CATS","CHATS"
"6154","DOGS","CHIENS"
"6154","CATS","CHATS"
"6154","HORSES","CHEVAUX"
"6155","DRY COWS","VACHES TARIES"
"6156","CHICKENS","POULETS"
"6156","SWINE","PORCINS"
"6157","HORSES","CHEVAUX"
"6157","DOGS","CHIENS"
"6158","AQUARIUM/EXOTIC FISH","POISSONS D'AQUARIUM/EXOTIQUES"
"6158","FISH","POISSONS"
"6159","TURKEYS","DINDES"
"6160","DOGS","CHIENS"
"6160","CATS","CHATS"
"6161","DOGS","CHIENS"
"6161","CATS","CHATS"
"6161","CATTLE","BOVINS"
"6161","HORSES","CHEVAUX"
"6162","BROILER CHICKENS","POULETS À GRILLER"
"6162","GROWING AND FINISHING SWINE","PORCS EN CROISSANCE ET DE FINITION"
"6162","SWINE","PORCINS"
"6163","HORSES","CHEVAUX"
"6164","CATTLE","BOVINS"
"6164","HORSES","CHEVAUX"
"6164","SWINE","PORCINS"
"6165","CATTLE (excluding lactating dairy cows)","BOVINS (EXCLUANT LES VACHES LAITIÈRES EN LACTATION)"
"6166","DOGS","CHIENS"
"6167","CATTLE","BOVINS"
"6167","SWINE","PORCINS"
"6168","CATTLE","BOVINS"
"6178","CATTLE","BOVINS"
"6179","SWINE","PORCINS"
"6179","BROILER CHICKENS","POULETS À GRILLER"
"6180","HORSES","CHEVAUX"
"6181","HORSES","CHEVAUX"
"6182","SWINE","PORCINS"
"6182","CATTLE","BOVINS"
"6183","CATTLE","BOVINS"
"6183","FEEDLOT HEIFERS","GÉNISSES D'ENGRAISSEMENT"
"6184","BROILER CHICKENS","POULETS À GRILLER"
"6184","SWINE","PORCINS"
"6185","SWINE","PORCINS"
"6186","DOGS","CHIENS"
"6187","DOGS","CHIENS"
"6188","CATTLE","BOVINS"
"6189","CATTLE","BOVINS"
"6189","SWINE","PORCINS"
"6189","BEEF CATTLE","BOVINS DE BOUCHERIE"
"6190","SWINE","PORCINS"
"6190","BEEF CATTLE","BOVINS DE BOUCHERIE"
"6191","DOGS","CHIENS"
"6192","DOGS","CHIENS"
"6193","DOGS","CHIENS"
"6194","CATTLE (excluding lactating dairy cows)","BOVINS (EXCLUANT LES VACHES LAITIÈRES EN LACTATION)"
"6195","SALMONIDS","SALMONIDÉS"
"6195","LOBSTERS","HOMARDS"
"6196","SWINE","PORCINS"
"6197","SWINE","PORCINS"
"6198","SWINE","PORCINS"
"6199","CATTLE","BOVINS"
"6199","DOGS","CHIENS"
"6199","CATS","CHATS"
"6199","HORSES","CHEVAUX"
"6200","DOGS","CHIENS"
"6200","HORSES","CHEVAUX"
"6200","CATS","CHATS"
"6200","CATTLE","BOVINS"
"6201","HORSES","CHEVAUX"
"6202","POULTRY","VOLAILLE"
"6202","BROILER CHICKENS","POULETS À GRILLER"
"6202","TURKEYS","DINDES"
"6203","HORSES","CHEVAUX"
"6211","KITTENS","CHATONS"
"6211","CATS","CHATS"
"6212","PUPPIES","CHIOTS"
"6212","DOGS","CHIENS"
"6213","CATS","CHATS"
"6214","DOGS","CHIENS"
"6215","DOGS","CHIENS"
"6216","DOGS","CHIENS"
"6216","PUPPIES","CHIOTS"
"6230","BEEF CATTLE","BOVINS DE BOUCHERIE"
"6231","CATTLE","BOVINS"
"6232","DOGS","CHIENS"
"6233","BROILER CHICKENS","POULETS À GRILLER"
"6239","SWINE","PORCINS"
"6239","BROILER CHICKENS","POULETS À GRILLER"
"6240","BROILER CHICKENS","POULETS À GRILLER"
"6240","SWINE","PORCINS"
"6241","SWINE","PORCINS"
"6241","BROILER CHICKENS","POULETS À GRILLER"
"6242","CATTLE","BOVINS"
"6242","SWINE","PORCINS"
"6243","CATTLE","BOVINS"
"6243","SWINE","PORCINS"
"6244","HORSES","CHEVAUX"
"6245","BROILER CHICKENS","POULETS À GRILLER"
"6246","HORSES","CHEVAUX"
"6247","HORSES","CHEVAUX"
"6248","CATTLE","BOVINS"
"6248","SHEEP","MOUTONS"
"6248","SWINE","PORCINS"
"6249","DOGS","CHIENS"
"6249","CATS","CHATS"
"6250","DOGS","CHIENS"
"6251","HORSES","CHEVAUX"
"6251","CATTLE","BOVINS"
"6252","DOGS","CHIENS"
"6252","CATS","CHATS"
"6253","DOGS","CHIENS"
"6253","CATS","CHATS"
"6254","DOGS","CHIENS"
"6255","CATTLE","BOVINS"
"6256","CATTLE","BOVINS"
"6257","DAIRY CATTLE","VACHES LAITIÈRES"
"6258","GROWING TURKEYS","DINDES EN CROISSANCE"
"6258","BROILER CHICKENS","POULETS À GRILLER"
"6259","DAIRY CATTLE","VACHES LAITIÈRES"
"6260","TURKEYS","DINDES"
"6260","BROILER CHICKENS","POULETS À GRILLER"
"6261","RABBIT","LAPINS"
"6261","TURKEYS","DINDES"
"6261","BROILER CHICKENS","POULETS À GRILLER"
"6262","SALMON","SAUMONS"
"6262","TROUT","TRUITES"
"6263","DOGS","CHIENS"
"6263","CATS","CHATS"
"6263","HORSES","CHEVAUX"
"6263","CATTLE","BOVINS"
"6264","CATTLE","BOVINS"
"6265","HORSES","CHEVAUX"
"6266","CATTLE","BOVINS"
"6267","HORSES","CHEVAUX"
"6268","CATTLE","BOVINS"
"6268","SWINE","PORCINS"
"6268","HORSES","CHEVAUX"
"6269","CATTLE (excluding lactating dairy cows)","BOVINS (EXCLUANT LES VACHES LAITIÈRES EN LACTATION)"
"6270","SWINE","PORCINS"
"6270","TURKEYS","DINDES"
"6270","BROILER CHICKENS","POULETS À GRILLER"
"6271","BROILER CHICKENS","POULETS À GRILLER"
"6272","FEEDLOT STEERS","BOUVILLONS D'ENGRAISSEMENT"
"6273","FEEDLOT HEIFERS","GÉNISSES D'ENGRAISSEMENT"
"6274","HORSES","CHEVAUX"
"6274","DOGS","CHIENS"
"6275","DOGS","CHIENS"
"6275","CATS","CHATS"
"6275","HORSES","CHEVAUX"
"6275","CATTLE","BOVINS"
"6276","CATTLE","BOVINS"
"6276","SHEEP","MOUTONS"
"6276","SWINE","PORCINS"
"6277","HORSES","CHEVAUX"
"6277","CATTLE","BOVINS"
"6278","MINK","VISONS"
"6278","CHICKENS","POULETS"
"6278","TURKEYS","DINDES"
"6278","SWINE","PORCINS"
"6278","LAMB","AGNEAUX"
"6278","CATTLE","BOVINS"
"6279","FEEDLOT CALVES","VEAUX D'ENGRAISSEMENT"
"6282","SWINE","PORCINS"
"6283","HORSES","CHEVAUX"
"6284","CALVES","VEAUX"
"6284","LAMB","AGNEAUX"
"6306","HORSES","CHEVAUX"
"6317","DOGS","CHIENS"
"6318","DOGS","CHIENS"
"6320","LACTATING DAIRY COWS","VACHES LAITIÈRES EN LACTATION"
"6321","SWINE","PORCINS"
"6321","BROILER CHICKENS","POULETS À GRILLER"
"6322","SWINE","PORCINS"
"6322","BROILER CHICKENS","POULETS À GRILLER"
"6323","SWINE","PORCINS"
"6325","SWINE","PORCINS"
"6330","SWINE","PORCINS"
"6333","DOGS","CHIENS"
"6334","DOGS","CHIENS"
"6335","DOGS","CHIENS"
"6336","DOGS","CHIENS"
"6337","SHEEP","MOUTONS"
"6338","DOGS","CHIENS"
"6339","DOGS","CHIENS"
"6340","DOGS","CHIENS"
"6341","DOGS","CHIENS"
"6342","SWINE","PORCINS"
"6343","CHICKENS","POULETS"
"6343","SWINE","PORCINS"
"6347","CATTLE","BOVINS"
"6348","CATTLE","BOVINS"
"6349","DOGS","CHIENS"
"6350","DOGS","CHIENS"
"6350","HORSES","CHEVAUX"
"6351","SHEEP","MOUTONS"
"6351","CATTLE","BOVINS"
